Date,Actual,Forecast,Signal
2024-12-11,101173.03125,73082.86110809547,Sell
2024-12-12,100043.0,73062.81850502963,Sell
2024-12-13,101459.2578125,73542.19770704569,Buy
2024-12-14,101372.96875,73037.92197128659,Sell
2024-12-15,104298.6953125,73453.64025175164,Buy
2024-12-16,106029.71875,73303.61696769459,Sell
2024-12-17,106140.6015625,73289.8835882916,Sell
2024-12-18,100041.5390625,73408.0820923729,Buy
2024-12-19,97490.953125,73502.16445867367,Buy
2024-12-20,97755.9296875,73364.99223495557,Sell
2024-12-21,97224.7265625,73774.91227157906,Buy
2024-12-22,95104.9375,73958.53002166643,Buy
2024-12-23,94686.2421875,74065.67889538949,Buy
2024-12-24,98676.09375,74315.33208193272,Buy
2024-12-25,99299.1953125,74379.18184825535,Buy
2024-12-26,95795.515625,74753.63156488123,Buy
2024-12-27,94164.859375,74801.88852520658,Buy
2024-12-28,95163.9296875,74834.7948364894,Buy
2024-12-29,93530.2265625,75198.82363776524,Buy
2024-12-30,92643.2109375,75458.64849992485,Buy
2024-12-31,93429.203125,75461.89281706208,Buy
2025-01-01,94419.7578125,75813.70882741465,Buy
2025-01-02,96886.875,75994.02051206182,Buy
2025-01-03,98107.4296875,75984.90945937876,Sell
2025-01-04,98236.2265625,76281.84415813045,Buy
2025-01-05,98314.9609375,76246.55341523913,Sell
2025-01-06,102078.0859375,76295.65620886468,Buy
2025-01-07,96922.703125,76300.69359095393,Buy
2025-01-08,95043.5234375,76771.67298036128,Buy
2025-01-09,92484.0390625,76315.21605898805,Sell
2025-01-10,94701.453125,76971.68717380537,Buy
2025-01-11,94566.59375,76893.76657970161,Sell
2025-01-12,94488.4375,77213.97915772477,Buy
2025-01-13,94516.5234375,77370.76188940344,Buy
2025-01-14,96534.046875,77440.03570123382,Buy
2025-01-15,100504.4921875,77601.34033542956,Buy
2025-01-16,99756.90625,77638.04439005276,Buy
2025-01-17,104462.0390625,77862.27604432663,Buy
2025-01-18,104408.0703125,77420.41947049375,Sell
2025-01-19,101089.609375,77932.85648389168,Buy
2025-01-20,102016.6640625,77698.71865053092,Sell
2025-01-21,106146.265625,77481.71947766152,Sell
2025-01-22,103653.0703125,77863.58625586279,Buy
2025-01-23,103960.171875,77898.93487535203,Buy
2025-01-24,104819.484375,77509.97997369432,Sell
2025-01-25,104714.6484375,77991.1732794466,Buy
2025-01-26,102682.5,77872.48153788783,Sell
2025-01-27,102087.6875,77896.07610067195,Buy
2025-01-28,101332.4765625,78096.76064061403,Buy
2025-01-29,103703.2109375,78184.63830255765,Buy
2025-01-30,104735.3046875,78173.51962832134,Sell
2025-01-31,102405.0234375,78484.65228773246,Buy
2025-02-01,100655.90625,78512.28615249046,Buy
2025-02-02,97688.9765625,78529.5194847344,Buy
2025-02-03,101405.421875,78963.08170174125,Buy
2025-02-04,97871.8203125,78723.85941548624,Sell
2025-02-05,96615.4453125,79540.66535216548,Buy
2025-02-06,96593.296875,79203.08834173053,Sell
