Date,Actual,Predicted,sentiment_score,Model,Coin,EnhancedSignal
2025-06-29 00:00:00.000000000,503.7851257324219,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-06-30 00:00:00.000000000,506.029052734375,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-19 00:00:00.000000000,12.937108039855955,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-20 00:00:00.000000000,13.27574634552002,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-21 00:00:00.000000000,13.106670379638672,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-22 00:00:00.000000000,14.139148712158203,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-23 00:00:00.000000000,15.005440711975098,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-24 00:00:00.000000000,15.044060707092283,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-25 00:00:00.000000000,14.929082870483398,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-26 00:00:00.000000000,14.875073432922363,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-27 00:00:00.000000000,14.588580131530762,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-28 00:00:00.000000000,15.01733112335205,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-29 00:00:00.000000000,14.613898277282717,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-30 00:00:00.000000000,14.29294204711914,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-01 00:00:00.000000000,14.75207805633545,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-02 00:00:00.000000000,14.6611967086792,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-03 00:00:00.000000000,14.260993003845217,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-04 00:00:00.000000000,13.859743118286133,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-05 00:00:00.000000000,13.646458625793455,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-06 00:00:00.000000000,13.830133438110352,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-07 00:00:00.000000000,13.819287300109863,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-08 00:00:00.000000000,15.849824905395508,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-09 00:00:00.000000000,16.011110305786133,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-10 00:00:00.000000000,17.34076690673828,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-11 00:00:00.000000000,17.063989639282227,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-12 00:00:00.000000000,16.732389450073242,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-13 00:00:00.000000000,17.432764053344727,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-14 00:00:00.000000000,17.01301383972168,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-15 00:00:00.000000000,16.003477096557617,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-16 00:00:00.000000000,15.755204200744627,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-17 00:00:00.000000000,15.320246696472168,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-18 00:00:00.000000000,15.922525405883787,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-19 00:00:00.000000000,15.799415588378906,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-20 00:00:00.000000000,15.6917085647583,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-21 00:00:00.000000000,16.12407684326172,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-22 00:00:00.000000000,16.736061096191406,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-23 00:00:00.000000000,15.521185874938965,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-24 00:00:00.000000000,15.355583190917969,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-25 00:00:00.000000000,15.526289939880373,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-26 00:00:00.000000000,15.527997970581056,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-27 00:00:00.000000000,15.918099403381348,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-28 00:00:00.000000000,15.665416717529297,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-29 00:00:00.000000000,15.040348052978516,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-30 00:00:00.000000000,13.899076461791992,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-05-31 00:00:00.000000000,13.976826667785645,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-01 00:00:00.000000000,14.062182426452637,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-02 00:00:00.000000000,14.092877388000488,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-03 00:00:00.000000000,14.115714073181152,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-04 00:00:00.000000000,13.850793838500977,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-05 00:00:00.000000000,12.922351837158203,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-06 00:00:00.000000000,13.581302642822266,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-07 00:00:00.000000000,13.836443901062012,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-08 00:00:00.000000000,13.717120170593262,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-09 00:00:00.000000000,14.361599922180176,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-10 00:00:00.000000000,15.42764377593994,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-11 00:00:00.000000000,14.90967082977295,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-12 00:00:00.000000000,14.025967597961426,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-13 00:00:00.000000000,13.436464309692385,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-14 00:00:00.000000000,13.166606903076172,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-15 00:00:00.000000000,13.296910285949709,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-16 00:00:00.000000000,13.574793815612791,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-17 00:00:00.000000000,13.007805824279783,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-18 00:00:00.000000000,13.103866577148438,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-19 00:00:00.000000000,13.074892044067385,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-20 00:00:00.000000000,12.51447582244873,12.562503814697266,,ARIMA,LINK-USD,Buy
2025-06-21 00:00:00.000000000,11.985239028930664,12.562503814697266,,ARIMA,LINK-USD,Buy
2025-06-22 00:00:00.000000000,11.652458190917969,12.562503814697266,,ARIMA,LINK-USD,Buy
2025-06-23 00:00:00.000000000,12.874313354492188,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-24 00:00:00.000000000,13.408498764038086,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-25 00:00:00.000000000,13.136893272399902,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-26 00:00:00.000000000,12.929868698120115,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-27 00:00:00.000000000,13.060314178466797,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-28 00:00:00.000000000,13.39917278289795,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-29 00:00:00.000000000,13.725419998168944,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-06-30 00:00:00.000000000,13.38076400756836,12.562503814697266,,ARIMA,LINK-USD,Sell
2025-04-19 00:00:00.000000000,1615.1849365234375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-20 00:00:00.000000000,1584.5579833984375,1587.81298828125,,ARIMA,STETH-USD,Buy
2025-04-21 00:00:00.000000000,1577.408447265625,1587.81298828125,,ARIMA,STETH-USD,Buy
